"Year","Journal","COUNTRY","Urb.scale","Year.start","Year.end","Comparator","Forest_Comp1","Forest_Comp2","Forest_Comp3","Forest_Comp4","Forest_Comp5","Rec.included","Rec1","Rec2","Rec3","journal.count"
2015,"Urban Forestry & Urban Greening","Italy","Multi-Patch","N/A","2011","N","Land use type"," Canopy cover"," Composition",NA,NA,"Y","Management","N/A","N/A",3
2019,"Journal of Applied Ecology","Spain","Multi-Patch","2019","2019","N","Composition"," Land use type",NA,NA,NA,"Y","Management","N/A","N/A",1
2016,"iForest - Biogeoscience and Forestry","USA","Multi-Patch","2014","2014","N","Composition"," Land use type"," Canopy cover"," Forested area",NA,"Y","Management","N/A","N/A",1
2019,"PLOS ONE","USA","Patch","2005","2006","Y","Composition"," Land use type",NA,NA,NA,"Y","Management","N/A","N/A",1
2015,"Journal of Applied Ecology","United Kingdom","Multi-Patch","N/A","N/A","Y","Composition"," Canopy cover"," Land use type",NA,NA,"Y","Management","N/A","N/A",2
2017,"Urban Forestry & Urban Greening","USA","Multi-City","N/A","N/A","N","Canopy cover"," Composition"," Land use type",NA,NA,"N","N/A","N/A","N/A",5
2019,"Urban Forestry & Urban Greening","South Korea","Patch","N/A","N/A","N","Composition"," Land use type",NA,NA,NA,"Y","Conservation","Management","N/A",1
2021,"Sustainability","Italy","Patch","N/A","N/A","Y","Land use type"," Forested area"," Composition",NA,NA,"N","N/A","N/A","N/A",3
2021,"Forests","Japan","Patch","2018","2018","N","Composition"," Canopy cover",NA,NA,NA,"Y","Conservation","Management","N/A",2
2012,"Urban Forestry & Urban Greening","China","Multi-Patch","2006","2006","N","Composition"," Forested area"," Land use type",NA,NA,"Y","Management","N/A","N/A",2
2017,"Sustainability","Italy","Multi-Patch","N/A","N/A","N","Land use type"," Individual tree management"," Native species"," Composition"," Diversity metric","Y","Conservation","Restoration","Management",3
2013,"Urban Forestry & Urban Greening","USA","Multi-Patch","2011","2011","N","Individual tree management"," Land use type"," Composition",NA,NA,"Y","Management","N/A","N/A",5
2014,"Science of The Total Environment","USA","Multi-Patch","2006","2007","N","Land use type"," Composition"," Canopy cover",NA,NA,"N","N/A","N/A","N/A",4
2020,"Sustainability","Republic of Korea","Region","N/A","N/A","N","Land use type"," Composition",NA,NA,NA,"Y","Management","N/A","N/A",1
